Bug ID,"Severity","Priority","Status","Assignee","Reporter","Product","Category","Component","Keywords","Build","Regression","Summary"
2293790,"serious","P1","closed","clayton","yyun","VDI","Skype For Business Redirection","SFB Windows Client",,,"No","[VMW-1341] video is offset and wrong size for win10 desktops"
2315646,"serious","P2","closed","etatum","kusumai","VDI","Instant Clone","Instant Clone Agent","view-ngvc",12919025,"---","One of the clone remains in Customizing state after resync with different snapshot"
2320738,"catastrophic","P0","closed","mbellon","zhangh","VDI","Remote Client","lx client","view-client-auto-lx",13146285,"Yes","Unable to launch view client from RHEL 6.10 x86 or x64 OS."
2321182,"serious","P1","closed","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","other caller cannot re-enable video when vdi has his video turned off"
2322442,"serious","P1","closed","shou","yul","VDI","Smartcard Redirection","Mac Client","view-client-auto-mac",13205981,"Unknown","[main branch] Mac client launching takes long time to show client UI"
2322510,"critical","P1","closed","borgera","zlin","VDI","Blast Protocol","Other","PAfeature-BJauto",22528888,"---","ASSERT bora\lib\vncConnectionManager\vncConnectionMgr.c:1081 during taas-sr-main-post test"
2322731,"serious","P1","closed","caohu","zhoujing","VDI","RTAV","Win Agent","PhysicalPCWin10RS4",14059491,"---","[Physical Agent]RTAV doesn't work on 32bit agent"
2323890,"serious","P1","closed","katiyara","jchittala","VDI","Skype For Business Redirection","SFB Agent",,,"Yes","[VMW-1359] bad outgoing audio quality 2019 RDSH in fallback when Sound dialog is open within local client"
2327674,"critical","P1","closed","nke","ysan","VDI","Blast Networking","vVC (VMware Virtual Channels)",,22772802,"---","NC doesn't work with blast dump in agent"
2328064,"minor","P1","closed","bhatial","kli","VDI","Microsoft Teams","Agent",,,"---","cannot close ""more actions"" menu"
2328072,"minor","P1","closed","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","[Teams Video] - self-preview window sometimes not displayed after turning camera on/off"
2328230,"critical","P1","closed","remote-desktop-experts","ljack","VDI","RMKS","Mac","cart-st-auto",13341315,"Yes","RMKS crash when disconnecting agent desktop"
2328486,"critical","P1","closed","nke","swan","VDI","Blast Networking","vVC (VMware Virtual Channels)",,22771702,"---","remote mks dump after disconnecting from the remote desktop"
2331746,"critical","P1","closed","nke","ltim","VDI","Blast Networking","client-linux",,22884574,"Unknown","[vvcLock][Sandbox] Linux client rmks crash and Blast Worker got dump."
2333033,"serious","P1","closed","katiyara","jchittala","VDI","Microsoft Teams","Agent",,,"---","[Teams-Video] No video with vdi to vdi call, audio is fine"
2333035,"serious","P1","closed","katiyara","jchittala","VDI","Microsoft Teams","Agent",,,"---","[Teams-Video] - Resized incoming and outgoing video windows are off and not align after opening the chat windows"
2333036,"minor","P1","closed","katiyara","jchittala","VDI","Microsoft Teams","Agent",,,"---","[Teams-Video] - Resized incoming and outgoing video windows are off and not align after dragging using mouse"
2333040,"serious","P1","closed","haishanw","jchittala","VDI","Microsoft Teams","Agent",,,"---","[Teams-Video] - switching between video calls incoming and outgoing video shows up as black screen"
2337343,"serious","P1","closed","katiyara","kli","VDI","Skype For Business Redirection","SFB Windows Client",,,"No","[VMW-1367] Built in Mic not working for Dell XPS 12 optimized audio calls"
2339724,"critical","P1","closed","katiyara","jchittala","VDI","Microsoft Teams","Agent",,,"---","[Teams-Audio] It takes way more time in VDI-optimized teams call to hear the callee after the call is established."
2340385,"serious","P1","closed","xwei","zhuanhuan","VDI","Client Drive Redirection","Windows Agent",,13598265,"No","[CDR Drive letter mapping] When setting the special Value table for Defined mapping, the Drive letter is mapped error"
2341326,"serious","P2","closed","xwei","zhuanhuan","VDI","Client Drive Redirection","Windows Agent",,13598265,"No","[Drive letter mapping of CDR] Add the 7  drives of client for sharing to windows7 agent, Sometime only 5 or 6 drives of client is shared to agent"
2342777,"serious","P1","closed","xwei","zhuanhuan","VDI","Client Drive Redirection","Windows Agent",,13598265,"---","[The Driver letter mapping of CDR] When setting Drive letter mapping enabled, the DND and FA is not working"
2344487,"serious","P1","new","alanh","zhangh","VDI","Blast Integration","Linux Client","view-client-auto-lx",13670234,"---","Hit different core dump once during BATS"
2344651,"serious","P1","closed","jhuo","czhou","VDI","RTAV","Linux Client","view-client-auto-lx",13670234,"---","Incorrect Client side RTAV log when use this feature."
2344838,"serious","P2","closed","xwei","zhuanhuan","VDI","Client Drive Redirection","Windows Agent",,13598265,"No","[CDR Drive letter mapping] When setting the special Value table for Defined mapping, the Drive letter is mapped error"
2344901,"serious","P2","closed","mmarcos","xwei","VDI","Documentation","VDI Knowledge Base","KB-published",13598265,"No","Sometimes the folder will be failed to redirect to win7 Agent if disconnect then re-connect very quickly"
2347075,"catastrophic","P0","closed","vdi-guru","myounis","VDI","Installer","viewAgent-UI/Silent install (win)","batfailed, view-auto-found",13713428,"---","Agent installation rolls back on windows 10x64 1703(os build 15063.1446)"
2348011,"serious","P1","resolved","agong","horizondevops_bug_reporter","VDI","Remote Client","android client",,13752386,"Unknown","hcandroid UNSTABLE for build 13752386 in viewci_HorizonClients_android_settings"
2351955,"critical","P1","closed","achernikov","alanh","VDI","Blast Integration","Win Client",,,"---","[New Client] Flicker/tearing when playing video with shared surfaces & MMR in WMP"
2354041,"catastrophic","P0","closed","alanh","swan","VDI","Blast Integration","Win Client",,13833225,"---","[new client] remote mks crashed with ""PANIC: ASSERT bora\apps\rde\viewClient\win32\DX11Renderer.cpp:1059"""
2354425,"serious","P1","closed","haishanw","haishanw","VDI","Skype For Business Redirection","SFB Windows Client","NOT_LEGACY, OneCloud",,"---","SFB Logging improvements"
2355121,"serious","P1","closed","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","Optimized Teams not working on win 10x86"
2355242,"critical","P1","closed","remote-desktop-experts","lvl","VDI","RMKS","win",,13847130,"---","[Main Branch]Fail to connect to remote desktop: remotemks crashed"
2355526,"critical","P1","closed","alanh","scheng","VDI","Blast Integration","Win Client",,13856893,"---","[New Client] [Collab] Cannot see primary session's cursor from shadow session"
2355856,"serious","P1","new","bentonj","chironaka","VDI","Blast Protocol","Audio",,13364005,"---","Fail to connect to pulse audio backend after reconnecting in Ubuntu 18.04"
2356214,"serious","P1","closed","adityashriva","katiyara","VDI","Server Core","Authentication Infrastructure",,,"---","Sign wsauth, wsksp and vmwsci"
2356243,"critical","P1","closed","bentonj","zlin","VDI","Blast Protocol","Display","PAfeature-BJauto",13863423,"---","[Dynamic Encoder] SessionRecorderErrorCb was fired with SR_ENCODER_TYPE_ERROR after enable dynamic encoder"
2356273,"serious","P1","new","bentonj","ljack","VDI","Blast Protocol","Performance",,13857090,"---","[Dynamic Encoder] With only video session, the FPS is lower and  memory usage is higher with dynamic encoder"
2356305,"critical","P1","closed","bentonj","ljack","VDI","Blast Protocol","Other",,13857090,"---","[Dynamic Encoder] With web client, after switch from JPEG to H264, agent desktop cannot be clicked"
2358156,"critical","P1","closed","bentonj","ysan","VDI","Blast Protocol","Other",,13857090,"---","[Dynamic Encoder] With Mobile client, after switch from H264 to JPEG, agent desktop cannot be clicked"
2358391,"minor","P1","closed","vdi-guru","vpn","VDI","Linux Agent","mksVNCServer","vSRC-Disposition-RN, vSRC-Vuln-Public",,"Unknown","Bump OpenSSL to 1.0.2s - Linux agent"
2358567,"serious","P2","closed","hangl","ksong","VDI","Linux Agent","Core-Agent",,,"No","[Multi-Session] Synchronism Stop of ProcessObject is not safe"
2358904,"serious","P1","closed","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","calls sometimes do not connect for ~18 seconds after VDI accepts the call"
2359178,"serious","P1","closed","achernikov","ljack","VDI","Blast Integration","Win Client",,13902629,"---","[New Client]  Display issue when showing a window and video flickered when playing video"
2359228,"critical","P1","closed","alanh","ljack","VDI","Blast Integration","Win Client",,,"---","[New Client] Right click and the first left click cannot move the cursor out of the agent desktop"
2359313,"serious","P1","closed","guptamohit","pbarber","VDI","Server Core","User Session Management","BAT, CheckinApproved, view-client-auto-win",13872208,"---","main branch wsnm-2976.dmp generated on Win10LTC2019 VDI during executing WinCDK client BATs"
2359338,"critical","P1","closed","alanh","ljack","VDI","Blast Integration","Win Client",,,"---","[New Client] RMKS crash in shadow after giving control to shadow session"
2359356,"critical","P1","closed","achernikov","scheng","VDI","Blast Integration","Win Client",,14132876,"---","[New Client] app is not displayed correctly with black area if connect to a disconnected app session or steal the session."
2359385,"critical","P1","closed","bliu","scheng","VDI","Remote Client","wincdk client",,,"---","[New Client] Horizon client quits as well after app session is stolen."
2359716,"serious","P1","closed","nke","presslerv","VDI","Blast Networking","vVC (VMware Virtual Channels)","found-by-benev",,"---","[BENeV][Vvc] ASSERT bora/lib/vvclib/vvcMultiAsockBackend.c:732"
2359794,"critical","P1","closed","appblast-guru","ljack","VDI","Blast Integration","Win Client",,13902629,"---","[New Client] With PCoIP, RMKS crashed and agent desktop disconnected when rezise the agent desktop"
2359886,"serious","P1","closed","kelsallt","ljack","VDI","Blast Integration","Win Client",,13902629,"---","[New Client] Decode reported in mks log is not correct"
2359905,"serious","P1","closed","appblast-guru","ljack","VDI","Blast Integration","Win Client",,13902629,"---","[New Client] When launch an app, it only show the border of the app"
2359907,"minor","P2","closed","taojin","nge","VDI","Virtual Devices","Serial Port Redirection",,13900292,"No","[lx] move bin\README to \README for lx client serialport tarball installer VMware-Horizon-serialportClient-5.1.0-13900292.i386.tar.gz"
2359908,"minor","P2","closed","taojin","nge","VDI","Virtual Devices","Scanner Redirection",,13900292,"No","[lx] move bin\README to \README for lx client scanner tarball installer VMware-Horizon-ScannerClientxxx.tar.gz"
2359927,"critical","P1","closed","alanh","ljack","VDI","Blast Integration","Win Client",,13902629,"---","[New Client] Sometimes it shows black screen when launch agent desktop"
2360225,"serious","P1","closed","katiyara","kli","VDI","Microsoft Teams","Agent",,,"---","video no longer seen after several video window manipulations (open/close chat panel, turn video on/off)"
2360246,"serious","P1","new","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","Native user does not get VDI's incoming video during meet now"
2360642,"critical","P1","closed","achernikov","ljack","VDI","Blast Integration","Win Client",,13919900,"---","[New Client] With VM based Windows client, compared with old client, CPU usage for RMKS increased a lot when playing video"
2361108,"serious","P1","closed","haishanw","kli","VDI","Microsoft Teams","Agent",,,"---","incoming video not displayed after VDI resumes hold on chrome user"
2361507,"critical","---","closed","alanh","kelsallt","VDI","Blast Integration","Win Client",,13879585,"Unknown","viewClient: PANIC mouse thread did not respond to a grab request"
2362448,"serious","P1","new","shuaibingw","llv","VDI","Remote Client","lx client",,13938431,"---","[OS Update][Linux client]Failed to install Linux client using installer bundle on RHEL 8 since there is no python command by default"
2362451,"serious","P1","closed","zhaoli","shou","VDI","Client Drive Redirection","Mac Client",,13444691,"No","[Mac 10.15][CDR]Fail to create folder in redirected CDR folder on MacOS 10.15 beta"
2362455,"critical","P1","closed","zji","llv","VDI","Remote Client","lx client",,13938431,"---","[OS Update][RHEL 8] ""symbol lookup error: /usr/lib64/libpangomm-1.4.so.1: undefined symbol"" error comes up when launching Linux client on RHEL 8"
2363244,"serious","P1","reopened","appblast-guru","ljack","VDI","Blast Integration","Win Client",,13938439,"---","[New Client] When primary monitor is connected to AMD graphics, software decoder but not hardware decoder is used"
2363441,"serious","P1","new","achernikov","ljack","VDI","Blast Integration","Win Client",,13938439,"Yes","[New Client] the memory usage for RMKS is larger than old client"
2363480,"serious","P1","closed","vertikasingh","xinshul","VDI","Remote Core","Protocol Provider (RDS)","PhysicalPCWin10RS4",,"---","[Physical Agent]Status in connection server admin is always shown as ""Disconnected"" after the physical machine sleeps/Hibernate"
2363719,"catastrophic","P0","closed","dcheah","jchittala","VDI","Remote Core","Display (console)",,,"---","Connection establishment is broken with PCoIP in main branch"
2363992,"serious","P1","closed","hangl","hangl","VDI","Linux Agent","Core-Agent","linuxvdi-multiple-session",,"---","[Multiple Session] Optimize functions related to X display allocation"
2364061,"serious","P2","closed","zhuanhuan","zhuanhuan","VDI","URL Redirection","Windows Agent",,13949173,"No","[URL Redirection] When URL is redirected to agent side. There are multiple duplicate logs about ""IsSupportIpRules: Support IP rules - no"""
2364246,"critical","P1","closed","kelsallt","swan","VDI","Blast Integration","Win Client",,13949094,"---","[New Client] Blast HEVC and H264 4:4:4 don't work when the client connects to the vGPU agent"
2364691,"serious","P1","closed","haishanw","kli","VDI","Microsoft Teams","Client",,,"Yes","Optimized teams not working with latest horizon client build"
2364960,"critical","P1","closed","joeqiux","xinshul","VDI","Multimedia","HTML5 Video Redirection","cart-st-auto, view-client-auto-win",,"---","[Automation]html5Client!PollSocketThread+0x2d4 [D:\build\ob\bora-13949851\bora\lib\pollDefault\pollDefault.c @ 4659]"
2364998,"critical","P1","closed","ksong","lvl","VDI","Linux Agent","Core-Agent","regression",13953698,"---","Agent doesn't logoff successfully from guest"
2365220,"serious","P1","closed","clayton","clayton","VDI","Blast Integration","Win Client",,,"---","[VMW-1341] video is offset and wrong size for win10 desktops"
