bugNumbers,changelist,client,date,description,reviewURL,reviewedBy,title,user,link
,7250292,20fq3-1,7/8/19 1:39,"
[crtbora/Linux Client] Make even width for VDI desktop
Crossport of change 7249600 from main to cart-20fq3.
Testing Done: [Refer to original change.]
Reviewed by: yyun, zzhou
Review URL: ",," yyun, zzhou",[crtbora/Linux Client] Make even width for VDI desktop,zji,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7250292?ac=10
,7396492,hbai-cart-20fq3-3,9/2/19 2:44,"
Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app
We do not need to lock the process to create the internalTexture, and we only need to lock the step to set the internalTexture to the renderTexture because we want make sure that the renderTexture is not changed during the rendering. 
QA Notes: 
Testing Done: local test is OK, did not find the issue after 15+ tests, sandbox: ",,,Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app,hbai,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7396492?ac=10
,7396492,hbai-cart-20fq3-3,9/2/19 2:44,"
Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app
We do not need to lock the process to create the internalTexture, and we only need to lock the step to set the internalTexture to the renderTexture because we want make sure that the renderTexture is not changed during the rendering. 
QA Notes: 
Testing Done: local test is OK, did not find the issue after 15+ tests, sandbox: ",,,Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app,hbai,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7396492?ac=10
,7393186,whsdp-bora,8/30/19 18:42,"
Bump rde-rft-all to 7393141
For removing cayman_webrtc
QA Notes: 
Testing Done: ",,,Bump rde-rft-all to 7393141,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7393186?ac=10
,7396492,hbai-cart-20fq3-3,9/2/19 2:44,"
Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app
We do not need to lock the process to create the internalTexture, and we only need to lock the step to set the internalTexture to the renderTexture because we want make sure that the renderTexture is not changed during the rendering. 
QA Notes: 
Testing Done: local test is OK, did not find the issue after 15+ tests, sandbox: ",,,Fix bug 2413938: [Metal][Blast] First Sing-in Animation app hang when the first time we connect the app,hbai,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7396492?ac=10
,7393186,whsdp-bora,8/30/19 18:42,"
Bump rde-rft-all to 7393141
For removing cayman_webrtc
QA Notes: 
Testing Done: ",,,Bump rde-rft-all to 7393141,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7393186?ac=10
,7393186,whsdp-bora,8/30/19 18:42,"
Bump rde-rft-all to 7393141
For removing cayman_webrtc
QA Notes: 
Testing Done: ",,,Bump rde-rft-all to 7393141,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7393186?ac=10
,7387271,wsw10_cart-20fq3,8/28/19 20:49,"
[hcwin]Update OSL in wincdk 5.2
Use the updated OSL ",,,[hcwin]Update OSL in wincdk 5.2,jjliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7387271?ac=10
,7384432,smangui_DESKTOP-RSILB0A_3119,8/27/19 23:31,"
[PrintRedir][CI/CD]: Publish print installer msi packages
[Description]: This patch are to:
1. Remove print installer msi packages from rde-rft-installer, avoid package print redirection installer msi packages into rde-rft-all.zip
2. Publish print msi installer packages to deliverable so that CI can easily download the packages from buildweb
3. Rename the test script name so that not the same test scripts file exist
3. Publish the CI test scripts to the zip package as well as the msi packages
QA Notes: 
Testing Done: ",,,[PrintRedir][CI/CD]: Publish print installer msi packages,smangui,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7384432?ac=10
,7384432,smangui_DESKTOP-RSILB0A_3119,8/27/19 23:31,"
[PrintRedir][CI/CD]: Publish print installer msi packages
[Description]: This patch are to:
1. Remove print installer msi packages from rde-rft-installer, avoid package print redirection installer msi packages into rde-rft-all.zip
2. Publish print msi installer packages to deliverable so that CI can easily download the packages from buildweb
3. Rename the test script name so that not the same test scripts file exist
3. Publish the CI test scripts to the zip package as well as the msi packages
QA Notes: 
Testing Done: ",,,[PrintRedir][CI/CD]: Publish print installer msi packages,smangui,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7384432?ac=10
2408476,7383892,zhanglin-macpro,8/27/19 17:50,"
[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle 
Crossport of change 7382112 from main to cart-20fq3.
Testing Done: [Refer to original change.]
Bug Number: 2408476
Reviewed by: klash, zzhou, xiaodongy
Review URL: ",," klash, zzhou, xiaodongy","[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle ",zzhou,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7383892?ac=10
2408476,7383892,zhanglin-macpro,8/27/19 17:50,"
[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle 
Crossport of change 7382112 from main to cart-20fq3.
Testing Done: [Refer to original change.]
Bug Number: 2408476
Reviewed by: klash, zzhou, xiaodongy
Review URL: ",," klash, zzhou, xiaodongy","[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle ",zzhou,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7383892?ac=10
2408476,7383892,zhanglin-macpro,8/27/19 17:50,"
[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle 
Crossport of change 7382112 from main to cart-20fq3.
Testing Done: [Refer to original change.]
Bug Number: 2408476
Reviewed by: klash, zzhou, xiaodongy
Review URL: ",," klash, zzhou, xiaodongy","[CDSHelper] For CDS upgrade, use the CDSHelper to move the new application bundle ",zzhou,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7383892?ac=10
,7383568,amold-cart-20fq3-2,8/27/19 14:32,"
[udpfec] staticOpts param is not optional for FECAsyncSocket_Listen
Crossport of change 7383567 from main to cart-20fq3.
Testing Done: [Refer to original change.]
Reviewed by: presslerv
